"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé"
"S19-3164810","AssVHR",2019-08-17,2019-08-22,2020-01-14,2020-01-14,182.63,182.63,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S19-3170495","AssVHR",2019-04-07,2019-04-07,2019-08-29,2019-08-29,-250.5,-250.5,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3170889","AssVHR",2019-04-08,2019-04-09,2019-04-09,2019-04-09,160.52,160.52,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3178001","AssBase",2019-10-11,2019-10-13,2019-11-19,2019-11-19,-287.47,-287.47,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,0
"S19-3181105","AssVHR",2019-05-15,2019-05-15,2019-11-19,2019-11-19,138.44,138.44,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3193626","AssVHR",2019-02-01,2019-02-02,2019-06-18,2019-06-18,188.6,188.6,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3197880","Ass0km",2019-02-21,2019-02-21,2019-04-22,2019-04-22,-189.95,-189.95,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3198875","AssVHR",2019-12-07,2019-12-08,2020-04-13,2020-04-13,185.57,185.57,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3202776","AssVHR",2019-07-16,2019-07-16,2019-11-25,2019-11-25,190.7,190.7,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3205945","AssVHR",2019-10-29,2019-10-30,2020-02-05,2020-02-05,195.76,195.76,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3207397","AssBase",2019-01-26,2019-01-26,2019-01-26,2019-01-26,-317.58,-317.58,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3225529","AssVHR",2019-05-19,2019-06-08,2019-06-08,2019-06-08,203.17,203.17,FALSE,FALSE,FALSE,FALSE,FALSE,20,1,1
"S19-3226494","AssVHR",2019-07-01,2019-07-02,2019-07-02,2019-07-02,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3229291","AssVHR",2019-02-18,2019-02-19,2019-02-19,2019-02-19,305.13,305.13,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3231754","AssVHR",2019-03-04,2019-03-06,2019-09-25,2019-09-25,173.27,173.27,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3232259","AssVHR",2019-08-16,2019-08-16,2019-11-18,2019-11-18,284.31,284.31,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3233976","AssVHR",2019-08-03,2019-08-03,2020-08-26,2020-08-26,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3240463","AssBase",2019-05-31,2019-06-02,2019-07-20,2019-07-20,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3246307","AssVHR",2019-08-24,2019-08-26,2019-12-23,2019-12-23,122.5,122.5,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3249464","AssVHR",2019-04-01,2019-04-02,2019-10-04,2019-10-04,161.9,161.9,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3251041","AssVHR",2019-10-24,2019-10-24,2020-05-16,2020-05-16,179.88,179.88,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3251450","AssBase",2019-10-24,2019-10-26,2019-12-22,2019-12-22,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3251889","AssVHR",2019-02-23,2019-02-23,2019-06-22,2019-06-22,179.68,179.68,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3252320","AssVHR",2019-01-08,2019-01-09,2019-07-14,2019-07-14,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3255291","AssVHR",2019-11-18,2019-11-21,2020-03-31,2020-03-31,203.21,203.21,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3261079","AssVHR",2019-08-11,2019-08-15,2019-11-19,2019-11-19,191.21,191.21,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3262695","AssVHR",2019-04-24,2019-04-24,2019-09-04,2019-09-04,120.73,120.73,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3270443","AssVHR",2019-05-08,2019-05-25,2019-09-04,2019-09-04,215.77,215.77,FALSE,FALSE,FALSE,FALSE,FALSE,17,1,1
"S19-3273985","AssVHR",2019-10-22,2019-10-22,2020-06-13,2020-06-13,159.77,159.77,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3282391","AssVHR",2019-08-03,2019-08-03,2019-11-18,2019-11-18,175.75,175.75,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3286916","AssVHR",2019-12-06,2019-12-07,2021-05-08,2021-05-08,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3287757","Ass0km",2019-03-07,2019-03-07,2019-07-04,2019-07-04,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3288869","AssVHR",2019-03-10,2019-03-11,2019-07-24,2019-07-24,162.89,162.89,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3289684","AssVHR",2019-09-11,2019-09-13,2019-12-27,2019-12-27,83.21,83.21,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3293281","AssVHR",2019-12-21,2019-12-22,2020-06-02,2020-06-02,136.27,136.27,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3294508","Ass0km",2019-07-12,2019-07-16,2019-08-26,2019-08-26,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0
"S19-3299880","AssVHR",2019-12-04,2019-12-05,2020-03-15,2020-03-15,189.73,189.73,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3302392","Ass0km",2019-07-26,2019-07-29,2019-08-05,2019-08-05,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0
"S19-3305231","AssVHR",2019-09-08,2019-09-12,2020-01-14,2020-01-14,150.9,150.9,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3310361","AssBase",2019-06-13,2019-06-14,2019-07-06,2019-07-06,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3312453","AssVHR",2019-10-14,2019-10-19,2020-02-08,2020-02-08,156.86,156.86,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S19-3313224","Ass0km",2019-07-25,2019-07-25,2019-08-30,2019-08-30,-239.13,-239.13,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3320086","Ass0km",2019-02-21,2019-02-26,2019-05-10,2019-05-10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,0
"S19-3320536","AssVHR",2019-07-14,2019-07-15,2019-10-27,2019-10-27,120.91,120.91,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3322083","AssBase",2019-04-09,2019-04-16,2019-08-02,2019-08-02,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,0
"S19-3322226","AssVHR",2019-12-28,2019-12-29,2020-03-29,2020-03-29,268.3,268.3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3326562","AssVHR",2019-08-14,2019-08-29,2019-12-13,2019-12-13,190.37,190.37,FALSE,FALSE,FALSE,FALSE,FALSE,15,1,1
"S19-3327739","AssVHR",2019-11-04,2019-11-04,2020-04-23,2020-04-23,209.14,209.14,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3329080","AssBase",2019-05-04,2019-05-11,2019-06-06,2019-06-06,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,0
"S19-3339971","Ass0km",2019-03-28,2019-03-31,2019-05-19,2019-05-19,-203.48,-203.48,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,0
"S19-3342908","AssVHR",2019-03-22,2019-03-23,2019-10-04,2019-10-04,228.75,228.75,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3345710","AssBase",2019-02-01,2019-02-01,2019-03-24,2019-03-24,-259.92,-259.92,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3346822","AssVHR",2019-02-03,2019-02-04,2019-06-12,2019-06-12,134.41,134.41,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3349582","AssVHR",2019-11-18,2019-11-18,2020-11-26,2020-11-26,147.17,147.17,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3350873","AssVHR",2019-10-04,2019-10-20,2020-03-01,2020-03-01,133.74,133.74,FALSE,FALSE,FALSE,FALSE,FALSE,16,1,1
"S19-3350938","AssVHR",2019-12-12,2019-12-12,2020-04-07,2020-04-07,190.95,190.95,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3352122","AssVHR",2019-11-18,2019-11-18,2020-03-10,2020-03-10,206.84,206.84,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3353258","AssVHR",2019-01-26,2019-01-27,2019-06-24,2019-06-24,139.39,139.39,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3353468","AssVHR",2019-11-23,2019-11-24,2019-11-24,2019-11-24,159.1,159.1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3356586","Ass0km",2019-08-21,2019-09-06,2019-09-24,2019-09-24,-201.59,-201.59,FALSE,FALSE,FALSE,TRUE,TRUE,16,1,0
"S19-3360646","AssVHR",2019-08-09,2019-08-09,2020-01-01,2020-01-01,159.76,159.76,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3361186","AssVHR",2019-06-23,2019-06-23,2019-10-23,2019-10-23,138.56,138.56,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3361983","AssBase",2019-03-17,2019-03-23,2019-09-22,2019-09-22,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,0
"S19-3362628","AssVHR",2019-10-17,2019-10-18,2019-10-18,2019-10-18,179.05,179.05,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3365943","AssVHR",2019-03-10,2019-03-10,2019-08-25,2019-08-25,-326.2,-326.2,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3366438","AssVHR",2019-02-16,2019-02-19,2019-09-28,2019-09-28,191.98,191.98,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3374488","Ass0km",2019-02-24,2019-02-24,2019-03-24,2019-03-24,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3374575","Ass0km",2019-09-04,2019-09-04,2019-10-12,2019-10-12,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3377195","AssVHR",2019-01-05,2019-01-07,2019-04-11,2019-04-11,123.48,123.48,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3379386","AssVHR",2019-10-31,2019-11-03,2020-02-19,2020-02-19,196.29,196.29,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3394293","Ass0km",2019-07-12,2019-07-14,2019-09-21,2019-09-21,-258.15,-258.15,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,0
"S19-3404370","Ass0km",2019-07-20,2019-07-22,2019-11-22,2019-11-22,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3410952","AssVHR",2019-08-20,2019-08-23,2019-11-23,2019-11-23,220.6,220.6,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3415126","AssVHR",2019-08-04,2019-08-04,2020-02-13,2020-02-13,187.79,187.79,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3416242","AssVHR",2019-07-16,2019-08-02,2019-11-24,2019-11-24,199.9,199.9,FALSE,FALSE,FALSE,FALSE,FALSE,17,1,1
"S19-3416370","AssBase",2019-08-19,2019-08-21,2019-10-10,2019-10-10,-191.79,-191.79,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,0
"S19-3419314","AssVHR",2019-07-19,2019-07-19,2019-11-19,2019-11-19,111.24,111.24,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3420366","Ass0km",2019-02-24,2019-02-24,2019-12-09,2019-12-09,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3422388","AssVHR",2019-09-18,2019-09-22,2019-12-22,2019-12-22,190.59,190.59,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3426503","AssBase",2019-11-19,2019-11-19,2020-01-18,2020-01-18,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3428940","AssVHR",2019-07-07,2019-07-08,2019-07-08,2019-07-08,120.05,120.05,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3429350","AssVHR",2019-12-06,2019-12-12,2020-04-17,2020-04-17,184.15,184.15,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1
"S19-3429755","AssVHR",2019-10-31,2019-10-31,2020-06-15,2020-06-15,181.6,181.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3433535","Ass0km",2019-12-03,2019-12-03,2019-12-19,2019-12-19,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3433990","AssVHR",2019-06-07,2019-06-07,2019-11-18,2019-11-18,1934.77,1934.77,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3435653","AssVHR",2019-11-07,2019-11-07,2020-03-02,2020-03-02,179.58,179.58,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3437756","AssVHR",2019-04-26,2019-04-26,2019-10-15,2019-10-15,206.14,206.14,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3453282","AssVHR",2019-06-05,2019-06-05,2019-11-17,2019-11-17,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3458248","AssVHR",2019-08-12,2019-08-13,2019-12-12,2019-12-12,-194.89,-194.89,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0
"S19-3463639","AssVHR",2019-07-29,2019-07-29,2019-11-14,2019-11-14,172.83,172.83,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3467954","AssVHR",2019-07-16,2019-07-18,2019-11-22,2019-11-22,160,160,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3470022","Ass0km",2019-08-09,2019-08-10,2019-12-27,2019-12-27,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3477060","AssVHR",2019-02-05,2019-02-05,2019-05-25,2019-05-25,178.03,178.03,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3482493","AssVHR",2019-01-09,2019-01-09,2019-05-09,2019-05-09,145.73,145.73,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3483948","AssVHR",2019-08-14,2019-08-15,2019-12-11,2019-12-11,179.2,179.2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3485981","AssVHR",2019-02-09,2019-02-12,2019-06-12,2019-06-12,193.38,193.38,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3492842","AssVHR",2019-07-21,2019-07-21,2020-12-10,2020-12-10,191.78,191.78,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3494989","AssBase",2019-09-20,2019-09-23,2019-10-23,2019-10-23,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0
"S19-3496508","AssVHR",2019-02-01,2019-02-02,2020-02-12,2020-02-12,128.34,128.34,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3501594","AssVHR",2019-05-25,2019-05-25,2019-09-26,2019-09-26,152.78,152.78,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3503685","AssVHR",2019-06-04,2019-06-07,2019-09-30,2019-09-30,136.56,136.56,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3508353","AssVHR",2019-11-01,2019-11-02,2020-02-15,2020-02-15,190.94,190.94,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3509920","AssVHR",2019-06-11,2019-06-15,2019-10-01,2019-10-01,195.06,195.06,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3512930","AssVHR",2019-05-24,2019-05-24,2019-09-07,2019-09-07,222.51,222.51,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3514211","AssVHR",2019-04-14,2019-04-15,2019-08-24,2019-08-24,136.98,136.98,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3518259","AssVHR",2019-07-26,2019-07-27,2019-12-11,2019-12-11,198.31,198.31,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3519818","AssVHR",2019-11-08,2019-11-10,2020-02-22,2020-02-22,212.54,212.54,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3520327","AssVHR",2019-08-12,2019-08-13,2020-06-19,2020-06-19,190.08,190.08,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3520880","Ass0km",2019-12-18,2019-12-18,2020-03-04,2020-03-04,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3528170","AssVHR",2019-06-27,2019-06-27,2019-10-11,2019-10-11,219.51,219.51,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3538544","AssVHR",2019-05-16,2019-05-21,2020-05-15,2020-05-15,120.9,120.9,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S19-3540155","AssVHR",2019-09-26,2019-09-28,2020-01-08,2020-01-08,222.85,222.85,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3544387","AssVHR",2019-06-16,2019-06-16,2019-10-07,2019-10-07,159.83,159.83,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3546064","AssBase",2019-08-19,2019-09-01,2019-09-08,2019-09-08,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,13,1,0
"S19-3547844","AssVHR",2019-07-30,2019-07-30,2019-12-01,2019-12-01,196.99,196.99,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3549873","AssVHR",2019-04-10,2019-04-12,2020-04-05,2020-04-05,187.33,187.33,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3552979","Ass0km",2019-11-28,2019-12-02,2020-01-05,2020-01-05,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0
"S19-3553936","AssVHR",2019-08-25,2019-08-26,2020-01-07,2020-01-07,-283.63,-283.63,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0
"S19-3563156","AssVHR",2019-09-14,2019-09-14,2019-12-31,2019-12-31,163.05,163.05,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3567688","AssVHR",2019-09-09,2019-09-09,2020-01-23,2020-01-23,155.54,155.54,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3567961","AssVHR",2019-10-04,2019-10-15,2020-05-09,2020-05-09,1911.05,1911.05,FALSE,FALSE,FALSE,FALSE,FALSE,11,1,1
"S19-3577006","AssVHR",2019-05-09,2019-05-12,2019-09-20,2019-09-20,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,0
"S19-3577294","AssVHR",2019-04-30,2019-05-12,2019-09-17,2019-09-17,192.5,192.5,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,1
"S19-3583724","AssVHR",2019-12-24,2019-12-24,2020-03-26,2020-03-26,221.6,221.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3585002","AssVHR",2019-12-07,2019-12-07,2020-05-17,2020-05-17,185.98,185.98,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3587164","AssVHR",2019-07-05,2019-07-06,2019-11-29,2019-11-29,153.06,153.06,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3593757","AssVHR",2019-01-12,2019-01-12,2019-04-28,2019-04-28,167.49,167.49,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3595573","AssVHR",2019-07-16,2019-07-17,2019-10-29,2019-10-29,125.47,125.47,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3596308","Ass0km",2019-10-17,2019-10-18,2020-01-26,2020-01-26,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3596953","AssVHR",2019-12-29,2020-01-02,2021-05-18,2021-05-18,171.98,171.98,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3603020","AssVHR",2019-06-15,2019-06-17,2019-12-06,2019-12-06,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3604160","AssVHR",2019-12-22,2019-12-23,2020-04-07,2020-04-07,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3607518","AssVHR",2019-10-12,2019-10-14,2020-01-28,2020-01-28,133.26,133.26,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3608263","AssBase",2019-07-04,2019-07-05,2019-12-31,2019-12-31,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3608928","AssVHR",2019-09-05,2019-09-07,2020-02-05,2020-02-05,197.1,197.1,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3611895","AssVHR",2019-02-25,2019-02-25,2019-07-26,2019-07-26,176.23,176.23,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3614071","AssVHR",2019-02-21,2019-02-21,2019-10-03,2019-10-03,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3615396","AssVHR",2019-09-19,2019-10-01,2019-10-01,2019-10-01,217.21,217.21,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,1
"S19-3620000","AssVHR",2019-05-26,2019-05-28,2020-03-14,2020-03-14,203.27,203.27,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3622096","AssBase",2019-08-21,2019-08-23,2019-10-16,2019-10-16,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3623673","AssVHR",2019-07-04,2019-07-04,2019-12-03,2019-12-03,185.36,185.36,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3629004","AssVHR",2019-02-15,2019-02-15,2019-05-30,2019-05-30,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3630157","AssVHR",2019-04-02,2019-04-11,2019-04-11,2019-04-11,167.07,167.07,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1
"S19-3639849","AssVHR",2019-06-28,2019-06-28,2020-01-10,2020-01-10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3653369","AssVHR",2019-12-06,2019-12-07,2020-03-23,2020-03-23,165.97,165.97,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3654035","AssVHR",2019-08-06,2019-08-10,2019-11-20,2019-11-20,192.57,192.57,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S19-3654273","AssVHR",2019-09-20,2019-09-20,2019-12-28,2019-12-28,144.65,144.65,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3655088","AssVHR",2019-07-14,2019-07-14,2019-12-23,2019-12-23,160.49,160.49,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3658889","AssVHR",2019-05-14,2019-05-14,2019-08-29,2019-08-29,211.39,211.39,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3659665","AssVHR",2019-08-01,2019-08-03,2019-12-27,2019-12-27,163.28,163.28,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S19-3673380","AssBase",2019-05-09,2019-05-10,2019-09-23,2019-09-23,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3673973","Ass0km",2019-02-01,2019-02-03,2019-02-28,2019-02-28,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0
"S19-3675126","Ass0km",2019-06-30,2019-06-30,2019-08-19,2019-08-19,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3676346","AssVHR",2019-02-13,2019-02-13,2019-06-06,2019-06-06,-311.48,-311.48,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3684247","AssVHR",2019-12-20,2019-12-21,2020-04-22,2020-04-22,166.45,166.45,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3684366","AssVHR",2019-10-28,2019-10-29,2021-02-09,2021-02-09,191.74,191.74,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3687140","AssVHR",2019-08-27,2019-08-27,2019-12-06,2019-12-06,173.99,173.99,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3692288","AssBase",2019-02-16,2019-02-17,2019-03-18,2019-03-18,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
"S19-3696468","AssVHR",2019-03-15,2019-03-15,2019-07-15,2019-07-15,116.78,116.78,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3698539","AssVHR",2019-11-20,2019-11-21,2020-02-25,2020-02-25,222.08,222.08,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S19-3700717","AssVHR",2019-08-02,2019-08-02,2020-03-21,2020-03-21,-214.73,-214.73,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,0
"S19-3701309","AssBase",2019-01-04,2019-01-04,2019-01-15,2019-01-15,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
"S19-3708174","AssVHR",2019-08-14,2019-08-17,2020-01-19,2020-01-19,163.89,163.89,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3713387","AssVHR",2019-07-18,2019-07-21,2019-12-01,2019-12-01,170.22,170.22,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3717397","AssVHR",2019-01-13,2019-01-13,2019-01-13,2019-01-13,185.34,185.34,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3725515","AssVHR",2019-12-22,2019-12-22,2020-05-25,2020-05-25,118.8,118.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3731610","AssVHR",2019-11-28,2019-12-01,2020-05-25,2020-05-25,157.26,157.26,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S19-3733316","AssVHR",2019-03-28,2019-04-04,2019-08-26,2019-08-26,-219.96,-219.96,FALSE,FALSE,FALSE,TRUE,TRUE,7,1,0
"S19-3738983","Ass0km",2019-10-19,2019-10-23,2019-12-04,2019-12-04,-263.47,-263.47,FALSE,FALSE,FALSE,TRUE,TRUE,4,1,0
"S19-3750847","AssVHR",2019-11-18,2019-11-18,2022-01-04,2022-01-04,223.13,223.13,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3755017","AssVHR",2019-11-27,2019-11-27,2020-04-17,2020-04-17,214.33,214.33,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S19-3755514","AssBase",2019-02-15,2019-02-17,2019-05-04,2019-05-04,-240,-240,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,0
"S19-3771274","Ass0km",2019-06-10,2019-06-10,2019-08-08,2019-08-08,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0
