"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé","idx_ct","idx_year","vh_immat","sit_start_date","sit_end_date","sit_expo","drv1age","drv1sex","drv1drive_licence_type","drv1drive_licence_age","vh_age","ct_frm","ct_ass_base","ct_ass0km","ct_ass_vhr","vh_segment","vh_marque","vh_energy","vh_weight","vh_din","vh_value","vh_group","vh_class","ct_usage","ct_km","ct_deduc","claims_ant","ct_insee","id1_ass_base","id1_ass0km","id1_ass_vhr","id2_ass_base","id2_ass0km","id2_ass_vhr","id3_ass_base","id3_ass0km","id3_ass_vhr","cot_ass_base","cot_ass0km","cot_ass_vhr","duree_contrat_jours","jeune_conducteur","cotisation_total","source_id"
"S20-1206647","AssBase","2020-07-08","2020-07-08","2020-08-19","2020-08-19",138.47,138.47,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003385881",2020,"ZX-1602-QG","2020-01-01","2020-12-31",1,36,"H","Traditionnel",16.46,8.12,"Mini",1,0,0,"Familiale","Citroen","Essence",775,55,8685.85,15,3,"Pri","N",400,2,"60672","S20-1206647",NA,NA,NA,NA,NA,NA,NA,NA,36.55,0,0,365,0,36.55,"id1_ass_base"
"S20-1207023","AssBase","2020-06-13","2020-06-13","2020-06-13","2020-06-13",206.98,206.98,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003386153",2020,"YD-3381-HL","2020-01-01","2020-12-31",1,42,"H","Traditionnel",22.68,9.87,"Mini",1,0,0,"Familiale","Citroen","Essence",1307,144,15596.04,21,3,"Pri","O",300,2,"18168","S20-1207023",NA,NA,NA,NA,NA,NA,NA,NA,37.9,0,0,365,0,37.9,"id1_ass_base"
"S20-1207499","AssBase","2020-06-11","2020-06-11","2020-07-31","2020-07-31",217.25,217.25,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003386508",2020,"PC-1430-GS","2020-01-01","2020-12-31",1,28,"H","Traditionnel",9.93,2.68,"Maxi",1,0,0,"Citadine","Citroen","Essence",1185,179,22129.46,15,4,"Pri","N",200,0,"35079","S20-1207499",NA,NA,NA,NA,NA,NA,NA,NA,30.75,0,0,365,0,30.75,"id1_ass_base"
"S20-1207549","AssBase","2020-08-20","2020-08-21","2020-09-14","2020-09-14",145.19,145.19,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003386541",2020,"XG-8654-EX","2020-01-01","2020-12-31",1,28,"H","Traditionnel",8.43,10.91,"Med2",1,1,0,"Citadine","Renault","Diesel",1645,99,7990.42,25,3,"Pri","N",200,0,"50247","S20-1207549",NA,NA,NA,NA,NA,NA,NA,NA,34.3,27.59,0,365,0,61.89,"id1_ass_base"
"S20-1207693","AssBase","2020-10-03","2020-10-03","2020-11-05","2020-11-05",3295.75,3295.75,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003386646",2020,"NG-0016-EX","2020-01-01","2020-12-31",1,58,"H","Traditionnel",37.31,7.62,"Maxi",1,0,0,"Familiale","Dacia","Essence",946,122,18875.21,9,4,"Pri","N",300,0,"33112","S20-1207693",NA,NA,NA,NA,NA,NA,NA,NA,37.9,0,0,365,0,37.9,"id1_ass_base"
"S20-1207833","AssBase","2020-01-15","2020-01-15","2020-02-01","2020-02-01",158.19,158.19,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003386751",2020,"GB-7617-NS","2020-01-01","2020-12-31",1,26,"F","Traditionnel",5,11.97,"Mini",1,0,0,"Compacte","Renault","Essence",1294,90,9620.4,1,3,"Pro","N",200,0,"60197","S20-1207833",NA,NA,NA,NA,NA,NA,NA,NA,34.95,0,0,365,0,34.95,"id1_ass_base"
"S20-1208058","AssBase","2020-07-10","2020-07-10","2020-12-06","2020-12-06",163.24,163.24,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003386939",2020,"DP-4338-LQ","2020-01-01","2020-12-31",1,69,"F","Traditionnel",47.81,17.46,"Mini",1,0,0,"Familiale","Autre","Diesel",1428,65,8608.47,9,2,"Pri","N",400,0,"76572","S20-1208058",NA,NA,NA,NA,NA,NA,NA,NA,36.55,0,0,365,0,36.55,"id1_ass_base"
"S20-1208482","AssBase","2020-07-24","2020-07-24","2020-12-14","2020-12-14",174.42,174.42,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003387267",2020,"GA-9883-PP","2020-01-01","2020-12-31",1,30,"H","Traditionnel",12.01,5.63,"Mini",1,0,0,"Citadine","Renault","Essence",1282,93,22038.54,15,4,"Pri","N",200,0,"15108","S20-1208482",NA,NA,NA,NA,NA,NA,NA,NA,36.85,0,0,365,0,36.85,"id1_ass_base"
"S20-1208652","AssBase","2020-04-27","2020-04-28","2020-05-27","2020-05-27",166.33,166.33,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003387384",2020,"DN-5629-LT","2020-01-01","2020-12-31",1,55,"F","Traditionnel",34.27,7.96,"Mini",1,0,0,"Citadine","Volkswagen","Electrique/Hybride",1647,208,11270.7,17,3,"Pri","N",200,0,"94068","S20-1208652",NA,NA,NA,NA,NA,NA,NA,NA,32.1,0,0,365,0,32.1,"id1_ass_base"
"S20-1208955","AssBase","2020-01-16","2020-01-18","2020-01-18","2020-01-18",240.66,240.66,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003387594",2020,"EA-7487-YY","2020-01-01","2020-12-31",1,36,"H","Traditionnel",14.51,13.16,"Mini",1,0,0,"Familiale","Peugeot","Diesel",1532,89,11135.53,6,3,"Pri","N",300,0,"42311","S20-1208955",NA,NA,NA,NA,NA,NA,NA,NA,33.36,0,0,365,0,33.36,"id1_ass_base"
"S20-1209115","AssBase","2020-11-20","2020-11-21","2021-04-07","2021-04-07",213.88,213.88,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003387726",2020,"DA-5708-YJ","2020-01-01","2020-12-31",1,32,"F","Traditionnel",12.08,15.01,"Med2",1,0,0,"Familiale","Autre","Electrique/Hybride",1146,98,7414.92,13,3,"Pri","O",200,2,"4129","S20-1209115",NA,NA,NA,NA,NA,NA,NA,NA,34.44,0,0,365,0,34.44,"id1_ass_base"
"S20-1209178","AssBase","2020-03-07","2020-03-09","2020-03-22","2020-03-22",177.41,177.41,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003387775",2020,"YD-1521-LL","2020-01-01","2020-12-31",1,48,"F","Cond Accompagnée",29.17,14.28,"Mini",1,0,0,"Familiale","Citroen","Diesel",1087,94,14915.84,10,3,"Pri","N",300,1,"10338","S20-1209178",NA,NA,NA,NA,NA,NA,NA,NA,37.68,0,0,365,0,37.68,"id1_ass_base"
"S20-1209368","AssBase","2020-12-10","2020-12-10","2021-05-16","2021-05-16",155.2,155.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003387915",2020,"QH-8997-AT","2020-01-01","2020-12-31",1,32,"F","Traditionnel",10.11,13.09,"Mini",1,0,0,"Compacte","Volkswagen","Diesel",1586,160,16440.35,14,3,"Pri","N",200,0,"66182","S20-1209368",NA,NA,NA,NA,NA,NA,NA,NA,37.26,0,0,365,0,37.26,"id1_ass_base"
"S20-1209512","AssBase","2020-05-13","2020-05-14","2020-06-16","2020-06-16",193.46,193.46,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003388021",2020,"LQ-2734-BL","2020-01-01","2020-12-31",1,40,"F","Traditionnel",20.01,12.73,"Mini",1,0,0,"Citadine","Ford","Diesel",1114,155,11117.55,4,3,"Pro","N",200,1,"18073","S20-1209512",NA,NA,NA,NA,NA,NA,NA,NA,34.57,0,0,365,0,34.57,"id1_ass_base"
"S20-1210615","AssBase","2020-04-22","2020-04-22","2020-05-27","2020-05-27",136.77,136.77,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003388893",2020,"DF-3549-ZY","2020-01-01","2020-12-31",1,22,"H","Cond Accompagnée",3.38,8.15,"Mini",1,0,0,"Citadine","Citroen","Diesel",1531,153,9056.41,3,3,"Pri","N",400,0,"43184","S20-1210615",NA,NA,NA,NA,NA,NA,NA,NA,30.34,0,0,365,1,30.34,"id1_ass_base"
"S20-1210650","AssBase","2020-09-28","2020-09-28","2020-11-07","2020-11-07",172.39,172.39,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003388918",2020,"PG-1360-ZQ","2020-01-01","2020-12-31",1,24,"H","Cond Accompagnée",2.88,11.96,"Mini",1,0,0,"Compacte","Fiat","Essence",1193,52,9588.95,8,2,"Pri","O",300,0,"70397","S20-1210650",NA,NA,NA,NA,NA,NA,NA,NA,34.57,0,0,365,1,34.57,"id1_ass_base"
"S20-1211067","AssBase","2020-06-21","2020-06-22","2020-07-13","2020-07-13",148,148,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003389230",2020,"XH-3297-JC","2020-01-01","2020-12-31",1,38,"H","Cond Accompagnée",19.17,16.9,"Mini",1,0,0,"Citadine","Autre","Essence",1227,89,4921.79,16,2,"Pri","N",400,0,"14110","S20-1211067",NA,NA,NA,NA,NA,NA,NA,NA,31.96,0,0,365,0,31.96,"id1_ass_base"
"S20-1211169","AssBase","2020-07-31","2020-07-31","2020-11-27","2020-11-27",216.96,216.96,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003389292",2020,"JA-7168-HM","2020-01-01","2020-12-31",1,62,"H","Traditionnel",43.57,9.76,"Mini",1,0,0,"Familiale","Renault","Essence",1105,103,14751.87,16,3,"Pri","N",200,0,"22195","S20-1211169",NA,NA,NA,NA,NA,NA,NA,NA,34.44,0,0,365,0,34.44,"id1_ass_base"
"S20-1211559","AssBase","2020-10-24","2020-10-29","2020-10-29","2020-10-29",145.83,145.83,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C003389593",2020,"DT-3158-MM","2020-01-01","2020-12-31",1,31,"H","Traditionnel",9.32,10.01,"Maxi",1,1,1,"Compacte","Peugeot","Essence",1794,177,9248.75,15,3,"Pri","N",300,0,"38031","S20-1211559",NA,NA,"S20-5031463",NA,NA,NA,NA,NA,42.31,31.39,27.35,365,0,101.05,"id1_ass_base"
"S20-1211765","AssBase","2020-08-08","2020-08-08","2020-08-08","2020-08-08",229.37,229.37,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003389749",2020,"QL-2447-BB","2020-01-01","2020-12-31",1,42,"H","Cond Accompagnée",20.54,9.22,"Mini",1,0,0,"Familiale","Citroen","Essence",1255,155,11262.07,31,3,"Pri","N",400,0,"77498","S20-1211765",NA,NA,NA,NA,NA,NA,NA,NA,37.68,0,0,365,0,37.68,"id1_ass_base"
"S20-1212168","AssBase","2020-01-21","2020-01-21","2020-03-10","2020-03-10",210.77,210.77,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003390078",2020,"GN-9111-DH","2020-01-01","2020-12-31",1,65,"F","Cond Accompagnée",43.67,10.4,"Mini",1,0,0,"Citadine","Toyota","Essence",1006,96,8115.6,9,2,"Pri","N",200,0,"77438","S20-1212168",NA,NA,NA,NA,NA,NA,NA,NA,31.24,0,0,365,0,31.24,"id1_ass_base"
"S20-1212526","AssBase","2020-06-09","2020-06-11","2020-10-10","2020-10-10",169.74,169.74,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003390360",2020,"RC-9060-MP","2020-01-01","2020-12-31",1,37,"F","Traditionnel",17.33,14.73,"Mini",1,0,0,"Citadine","Citroen","Electrique/Hybride",1540,123,18313.35,17,4,"Pri","N",200,0,"35022","S20-1212526",NA,NA,NA,NA,NA,NA,NA,NA,35.74,0,0,365,0,35.74,"id1_ass_base"
"S20-1213229","AssBase","2020-04-29","2020-04-29","2020-09-28","2020-09-28",164.98,164.98,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003390865",2020,"LL-8287-XT","2020-01-01","2020-12-31",1,24,"H","Traditionnel",4.45,11.2,"Med2",1,1,1,"Compacte","Dacia","Essence",1461,98,12370.52,9,3,"Pri","N",400,0,"50026","S20-1213229",NA,NA,NA,NA,NA,NA,NA,NA,43.75,32.25,28,365,1,104,"id1_ass_base"
"S20-1213327","AssBase","2020-12-16","2020-12-18","2021-03-08","2021-03-08",137.68,137.68,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003390942",2020,"NQ-0137-NR","2020-01-01","2020-12-31",1,46,"F","Traditionnel",26.39,6.38,"Med1",1,0,0,"Familiale","Renault","Essence",1167,64,5027.8,9,3,"Pri","N",300,0,"63255","S20-1213327",NA,NA,NA,NA,NA,NA,NA,NA,35.02,0,0,365,0,35.02,"id1_ass_base"
"S20-1213500","AssBase","2020-08-23","2020-08-25","2020-09-17","2020-09-17",135.22,135.22,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003391063",2020,"ND-1156-BS","2020-01-01","2020-12-31",1,45,"F","Traditionnel",26.32,8.98,"Maxi",1,0,0,"Compacte","Citroen","Diesel",1657,186,11860.6,15,3,"Pri","N",200,0,"50327","S20-1213500",NA,NA,"S20-5033378",NA,NA,NA,NA,NA,33.6,0,0,365,0,33.6,"id1_ass_base"
"S20-1214073","AssBase","2020-11-28","2020-11-28","2021-01-24","2021-01-24",212.39,212.39,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003391537",2020,"CM-0339-SF","2020-03-13","2020-12-31",0.80327868852459,44,"H","Cond Accompagnée",25.55,10.18,"Med2",1,0,0,"SUV","Citroen","Diesel",1958,232,13814.82,20,3,"Pri","N",200,0,"51363","S20-1214073",NA,NA,NA,NA,NA,NA,NA,NA,29.72,0,0,293,0,29.72,"id1_ass_base"
"S20-1214205","AssBase","2020-04-24","2020-04-25","2020-06-18","2020-06-18",200.68,200.68,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003391658",2020,"LE-4184-KJ","2020-03-03","2020-12-31",0.830601092896175,31,"F","Traditionnel",11.94,0.55,"Maxi",1,0,0,"SUV","Citroen","Diesel",1995,286,14273.22,11,3,"Pri","N",300,0,"30207","S20-1214205",NA,NA,NA,NA,NA,NA,NA,NA,22.66,0,0,303,0,22.66,"id1_ass_base"
"S20-1214379","AssBase","2020-08-19","2020-08-27","2020-10-29","2020-10-29",185.16,185.16,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,1,"C003391823",2020,"GN-3962-PL","2020-06-14","2020-12-31",0.549180327868853,68,"H","Traditionnel",49.51,14.42,"Med1",1,0,0,"Citadine","Peugeot","Essence",1202,165,4002.56,27,1,"Pri","N",500,1,"81105","S20-1214379",NA,NA,NA,NA,NA,NA,NA,NA,16.22,0,0,200,0,16.22,"id1_ass_base"
"S20-1214519","AssBase","2020-08-11","2020-08-17","2020-08-17","2020-08-17",186.82,186.82,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1,"C003391949",2020,"EC-1911-ST","2020-01-10","2020-12-31",0.975409836065574,35,"H","Traditionnel",15.63,11.55,"Mini",1,0,0,"Compacte","Audi","Diesel",1550,148,3715.73,2,2,"Pri","N",300,0,"38264","S20-1214519",NA,NA,NA,NA,NA,NA,NA,NA,31.21,0,0,356,0,31.21,"id1_ass_base"
"S20-1215442","AssBase","2020-12-23","2020-12-24","2021-01-10","2021-01-10",182.34,182.34,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003392841",2020,"HX-6655-JY","2020-04-23","2020-12-31",0.691256830601093,57,"H","Traditionnel",36.33,4.8,"Mini",1,0,0,"Citadine","Citroen","Diesel",1563,168,28150.68,19,5,"Pro","N",500,1,"21036","S20-1215442",NA,NA,NA,NA,NA,NA,NA,NA,23.77,0,0,252,0,23.77,"id1_ass_base"
"S20-1216549","AssBase","2020-12-27","2020-12-29","2021-03-12","2021-03-12",208.51,208.51,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003393889",2020,"TL-9088-XA","2020-10-12","2020-12-31",0.221311475409836,43,"H","Cond Accompagnée",24.27,15.98,"Mini",1,0,0,"Citadine","Citroen","Electrique/Hybride",1804,232,12844.85,25,3,"Pri","N",200,0,"72072","S20-1216549",NA,NA,NA,NA,NA,NA,NA,NA,7.65,0,0,80,0,7.65,"id1_ass_base"
"S20-1217067","AssBase","2020-11-30","2020-12-03","2020-12-23","2020-12-23",180.14,180.14,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"C003394369",2020,"FM-1030-JG","2020-02-14","2020-12-31",0.879781420765027,57,"H","Cond Accompagnée",36.13,5.76,"Mini",1,0,0,"Citadine","Nissan","Diesel",1281,78,11275.05,7,2,"Pro","N",500,0,"62615","S20-1217067",NA,NA,NA,NA,NA,NA,NA,NA,30.75,0,0,321,0,30.75,"id1_ass_base"
"S20-1217678","AssBase","2020-07-24","2020-07-29","2020-10-02","2020-10-02",163.15,163.15,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C003394921",2020,"KF-1941-NQ","2020-02-17","2020-12-31",0.871584699453552,56,"F","Cond Accompagnée",37.5,0.72,"Maxi",1,1,0,"Compacte","Autre","Essence",763,93,7435.94,17,2,"Pri","N",300,0,"86279","S20-1217678",NA,NA,NA,NA,NA,NA,NA,NA,23.9,22.06,0,318,0,45.96,"id1_ass_base"
"S20-1218367","AssBase","2020-07-30","2020-08-06","2020-09-09","2020-09-09",166.91,166.91,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1,"C003395532",2020,"BF-9350-QE","2020-07-30","2020-12-31",0.423497267759563,49,"H","Traditionnel",28.21,1.13,"Mini",1,0,0,"Citadine","Autre","Essence",1169,120,3512.51,13,1,"Pri","N",400,0,"71570","S20-1218367",NA,NA,NA,NA,NA,NA,NA,NA,11.28,0,0,154,0,11.28,"id1_ass_base"
"S20-1219494","AssBase","2020-01-23","2020-01-23","2020-02-07","2020-02-07",193.34,193.34,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003396589",2020,"LT-2642-NM","2020-01-20","2020-12-31",0.948087431693989,45,"H","Cond Accompagnée",25.44,19.23,"Mini",1,0,0,"Compacte","Peugeot","Essence",1137,72,7304.63,4,3,"Pri","O",200,0,"65283","S20-1219494",NA,NA,NA,NA,NA,NA,NA,NA,31.29,0,0,346,0,31.29,"id1_ass_base"
"S20-1219674","AssBase","2020-09-09","2020-09-10","2020-10-01","2020-10-01",212.97,212.97,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003396799",2020,"QM-3837-QZ","2020-03-06","2020-12-31",0.822404371584699,38,"F","Traditionnel",19.76,12.81,"Maxi",1,0,0,"Familiale","Autre","Diesel",1742,107,11777.3,18,2,"Pro","N",200,0,"44125","S20-1219674",NA,NA,NA,NA,NA,NA,NA,NA,30.63,0,0,300,0,30.63,"id1_ass_base"
"S20-1219999","AssBase","2020-08-13","2020-08-13","2020-12-10","2020-12-10",149.29,149.29,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003397113",2020,"CM-2549-HT","2020-08-13","2020-12-31",0.385245901639344,46,"H","Traditionnel",26.21,8.16,"Mini",1,0,0,"Citadine","Citroen","Electrique/Hybride",1290,63,9527.41,12,2,"Pri","N",200,1,"14639","S20-1219999",NA,NA,NA,NA,NA,NA,NA,NA,12.94,0,0,140,0,12.94,"id1_ass_base"
"S20-1220260","AssBase","2020-09-10","2020-09-15","2021-02-07","2021-02-07",159.86,159.86,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C003397320",2020,"AZ-7646-JQ","2020-08-19","2020-12-31",0.368852459016393,21,"H","Traditionnel",0.39,0.42,"Maxi",1,0,0,"Citadine","Peugeot","Essence",1142,107,4006.64,27,2,"Pri","N",300,0,"43159","S20-1220260",NA,NA,NA,NA,NA,NA,NA,NA,9.11,0,0,134,1,9.11,"id1_ass_base"
"S20-1221573","AssBase","2020-08-23","2020-08-23","2020-11-07","2020-11-07",199.96,199.96,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003398552",2020,"QR-9239-BP","2020-07-22","2020-12-31",0.445355191256831,35,"F","Cond Accompagnée",13.82,8.75,"Med1",1,0,0,"Citadine","Peugeot","Essence",1041,141,2635,23,1,"Pri","N",200,0,"27176","S20-1221573",NA,NA,NA,NA,NA,NA,NA,NA,14.23,0,0,162,0,14.23,"id1_ass_base"
"S20-1221676","AssBase","2020-07-31","2020-07-31","2020-09-26","2020-09-26",176.32,176.32,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003398636",2020,"PC-3435-JD","2020-03-25","2020-12-31",0.770491803278688,55,"H","Traditionnel",35.17,1.09,"Maxi",1,0,0,"Citadine","Citroen","Essence",1086,221,17451.57,22,4,"Pri","N",200,0,"92024","S20-1221676",NA,NA,NA,NA,NA,NA,NA,NA,21.33,0,0,281,0,21.33,"id1_ass_base"
"S20-1221692","AssBase","2020-07-24","2020-07-24","2020-09-05","2020-09-05",154.97,154.97,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003398653",2020,"YM-0475-YS","2020-04-07","2020-12-31",0.734972677595628,65,"F","Traditionnel",45.75,8.27,"Maxi",1,0,0,"Citadine","Peugeot","Diesel",1942,203,18704.23,18,4,"Pri","N",200,0,"27624","S20-1221692",NA,NA,NA,NA,NA,NA,NA,NA,26.57,0,0,268,0,26.57,"id1_ass_base"
"S20-1221847","AssBase","2020-06-15","2020-06-18","2020-07-02","2020-07-02",166.09,166.09,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"C003398789",2020,"TF-4048-RG","2020-02-18","2020-12-31",0.868852459016393,30,"H","Traditionnel",9.29,17.64,"Mini",1,0,0,"SUV","Citroen","Essence",1237,78,7808.97,12,2,"Pri","N",200,1,"31029","S20-1221847",NA,NA,NA,NA,NA,NA,NA,NA,32.1,0,0,317,0,32.1,"id1_ass_base"
"S20-1222722","AssBase","2020-09-21","2020-09-22","2020-10-28","2020-10-28",201.54,201.54,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003399635",2020,"CB-2177-HZ","2020-02-01","2020-12-31",0.915300546448087,29,"H","Traditionnel",11.21,1.3,"Maxi",1,0,0,"Compacte","Nissan","Diesel",1378,127,6245.64,10,2,"Pro","N",300,0,"50066","S20-1222722",NA,NA,NA,NA,NA,NA,NA,NA,23.53,0,0,334,0,23.53,"id1_ass_base"
"S20-1223039","AssBase","2020-07-31","2020-08-09","2020-12-21","2020-12-21",169.77,169.77,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1,"C003399931",2020,"CR-1005-BK","2020-07-31","2020-12-31",0.420765027322404,72,"F","Cond Accompagnée",52.6,1.1,"Maxi",1,0,0,"Citadine","Citroen","Diesel",1446,121,8721.27,15,3,"Pri","N",200,0,"25382","S20-1223039",NA,NA,NA,NA,NA,NA,NA,NA,11.79,0,0,153,0,11.79,"id1_ass_base"
"S20-1223186","AssBase","2020-10-27","2020-10-29","2020-11-20","2020-11-20",154.2,154.2,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003400078",2020,"JN-9748-JQ","2020-10-16","2020-12-31",0.210382513661202,69,"F","Cond Accompagnée",47.21,17.94,"Maxi",1,1,1,"Citadine","Ford","Essence",1578,147,5217.54,21,2,"Pri","N",200,0,"31098","S20-1223186",NA,NA,NA,NA,NA,NA,NA,NA,8.59,18.26,17.46,76,0,44.31,"id1_ass_base"
"S20-1223554","AssBase","2020-10-19","2020-10-19","2020-10-19","2020-10-19",205.65,205.65,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C003400459",2020,"YK-2959-PM","2020-09-06","2020-12-31",0.319672131147541,44,"F","Traditionnel",22.12,11.53,"Mini",1,0,0,"Citadine","Peugeot","Essence",1216,134,6749.29,19,2,"Pro","N",300,1,"77211","S20-1223554",NA,NA,NA,NA,NA,NA,NA,NA,10.53,0,0,116,0,10.53,"id1_ass_base"
"S20-1224908","AssBase","2020-04-19","2020-04-23","2020-05-11","2020-05-11",250.09,250.09,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,"C003401742",2020,"LQ-1306-ER","2020-02-01","2020-12-31",0.915300546448087,50,"H","Cond Accompagnée",31.45,2.1,"Maxi",1,0,0,"SUV","Peugeot","Essence",1622,168,7942.65,26,2,"Pri","N",200,0,"8487","S20-1224908",NA,NA,NA,NA,NA,NA,NA,NA,27.12,0,0,334,0,27.12,"id1_ass_base"
"S20-1226014","AssBase","2020-03-02","2020-03-05","2020-03-27","2020-03-27",153.46,153.46,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"C003402771",2020,"NS-5080-KP","2020-01-14","2020-12-31",0.96448087431694,46,"H","Traditionnel",26.64,12.45,"Mini",1,0,0,"Citadine","Citroen","Diesel",1169,57,2579.15,6,2,"Pri","N",200,0,"54038","S20-1226014",NA,NA,NA,NA,NA,NA,NA,NA,28.95,0,0,352,0,28.95,"id1_ass_base"
"S20-1226304","AssBase","2020-11-21","2020-11-22","2021-03-18","2021-03-18",216.44,216.44,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003403028",2020,"QE-1142-GQ","2020-06-29","2020-12-31",0.508196721311475,33,"H","Traditionnel",11.33,0.9,"Maxi",1,0,0,"SUV","Renault","Diesel",1801,272,17652.57,21,4,"Pro","N",400,1,"60250","S20-1226304",NA,NA,NA,NA,NA,NA,NA,NA,14.73,0,0,185,0,14.73,"id1_ass_base"
"S20-1226705","AssBase","2020-11-09","2020-11-14","2020-11-29","2020-11-29",177.85,177.85,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C003403412",2020,"QT-4296-SH","2020-01-28","2020-12-31",0.926229508196721,64,"H","Traditionnel",44.13,0.9,"Maxi",1,0,0,"Familiale","Renault","Essence",1157,149,4099.72,18,2,"Pri","O",500,0,"65245","S20-1226705",NA,NA,NA,NA,NA,NA,NA,NA,24.4,0,0,338,0,24.4,"id1_ass_base"
"S20-1227079","AssBase","2020-08-07","2020-08-09","2020-08-09","2020-08-09",169.65,169.65,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C003403776",2020,"FK-7026-YF","2020-03-11","2020-12-31",0.808743169398907,54,"H","Traditionnel",33.63,8.13,"Maxi",1,1,1,"SUV","Citroen","Diesel",1418,145,6095.45,2,2,"Pri","N",200,0,"70279","S20-1227079",NA,NA,NA,NA,NA,NA,NA,NA,32.85,27.43,24.37,295,0,84.65,"id1_ass_base"
"S20-1227322","AssBase","2020-12-03","2020-12-08","2021-05-13","2021-05-13",199.16,199.16,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C003404022",2020,"QZ-0226-ME","2020-05-01","2020-12-31",0.669398907103825,39,"H","Cond Accompagnée",17.45,1.66,"Maxi",1,1,1,"Citadine","Seat","Diesel",1322,209,22751.55,1,4,"Pri","N",200,0,"2B152","S20-1227322",NA,NA,"S20-5047232",NA,NA,NA,NA,NA,24.76,23.83,21.65,244,0,70.24,"id1_ass_base"
"S20-1227406","AssBase","2020-12-30","2020-12-31","2021-02-16","2021-02-16",3142.78,3142.78,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C003404089",2020,"QS-8221-LB","2020-10-01","2020-12-31",0.251366120218579,44,"H","Traditionnel",23.77,11.94,"Mini",1,0,0,"Familiale","Citroen","Essence",1223,140,10794.94,3,3,"Pro","N",200,1,"65415","S20-1227406",NA,NA,NA,NA,NA,NA,NA,NA,9.47,0,0,91,0,9.47,"id1_ass_base"
